city,date,new_cases_raw,new_cases_7dayMA,new_deaths_raw,new_deaths_7dayMA,new_hosp_raw,new_hosp_7dayMA,date_of_access,source,geo_level
Austin,2020-03-25,21,14,,,,,2022-01-14,LHD,city
Austin,2020-03-28,22,18,,,,,2022-01-14,LHD,city
Austin,2020-03-31,41,22,,,,,2022-01-14,LHD,city
Austin,2020-04-03,80,39,,,,,2022-01-14,LHD,city
Austin,2020-04-06,21,44,,,,,2022-01-14,LHD,city
Austin,2020-04-09,46,43,,,,,2022-01-14,LHD,city
Austin,2020-04-12,31,43,,,,,2022-01-14,LHD,city
Austin,2020-04-15,77,56,,,,,2022-01-14,LHD,city
Austin,2020-04-18,20,51,,,,,2022-01-14,LHD,city
Austin,2020-04-21,60,49,,,,,2022-01-14,LHD,city
Austin,2020-04-24,68,44,,,,,2022-01-14,LHD,city
Austin,2020-04-27,53,43,,,,,2022-01-14,LHD,city
Austin,2020-04-30,63,51,,,,,2022-01-14,LHD,city
Austin,2020-05-03,42,51,,,,,2022-01-14,LHD,city
Austin,2020-05-06,75,52,,,,,2022-01-14,LHD,city
Austin,2020-05-09,27,56,,,,,2022-01-14,LHD,city
Austin,2020-05-12,68,54,,,,,2022-01-14,LHD,city
Austin,2020-05-15,39,47,,,,,2022-01-14,LHD,city
Austin,2020-05-18,78,54,,,,,2022-01-14,LHD,city
Austin,2020-05-21,69,53,,,,,2022-01-14,LHD,city
Austin,2020-05-24,63,57,,,,,2022-01-14,LHD,city
Austin,2020-05-27,75,61,,,,,2022-01-14,LHD,city
Austin,2020-05-30,47,65,,,,,2022-01-14,LHD,city
Austin,2020-06-02,77,66,,,,,2022-01-14,LHD,city
Austin,2020-06-05,55,63,,,,,2022-01-14,LHD,city
Austin,2020-06-08,118,67,,,,,2022-01-14,LHD,city
Austin,2020-06-11,129,97,,,,,2022-01-14,LHD,city
Austin,2020-06-14,87,122,,,,,2022-01-14,LHD,city
Austin,2020-06-17,220,127,,,,,2022-01-14,LHD,city
Austin,2020-06-20,424,179,,,,,2022-01-14,LHD,city
Austin,2020-06-23,261,262,,,,,2022-01-14,LHD,city
Austin,2020-06-26,0,260,,,,,2022-01-14,LHD,city
Austin,2020-06-29,514,379,,,,,2022-01-14,LHD,city
Austin,2020-07-02,572,518,,,,,2022-01-14,LHD,city
Austin,2020-07-05,553,466,,,,,2022-01-14,LHD,city
